2024-11-14 17:50:25.320 | INFO     | __main__:main:262 - 预热模型...
2024-11-14 17:50:25.320 | INFO     | src.model_loader:get_model:14 - 加载语义相似度模型...
2024-11-14 17:50:29.868 | INFO     | src.model_loader:get_model:16 - 模型加载完成，耗时: 4.55秒
2024-11-14 17:50:29.920 | INFO     | __main__:process_pdf_files:143 - 找到 10 个PDF文件待处理
2024-11-14 17:50:34.043 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 4.12秒
2024-11-14 17:50:34.044 | DEBUG    | src.pdf_parser:find_summary_text:35 - 打开PDF文档...
2024-11-14 17:50:34.045 | DEBUG    | src.pdf_parser:find_summary_text:37 - PDF总页数: 84, 打开耗时: 0.00秒
2024-11-14 17:50:34.046 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 1 页
2024-11-14 17:50:34.053 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 4.13秒
2024-11-14 17:50:34.061 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 4.14秒
2024-11-14 17:50:34.061 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 4.13秒
2024-11-14 17:50:34.061 | DEBUG    | src.pdf_parser:find_summary_text:35 - 打开PDF文档...
2024-11-14 17:50:34.061 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 4.14秒
2024-11-14 17:50:34.061 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 4.14秒
2024-11-14 17:50:34.062 | DEBUG    | src.pdf_parser:find_summary_text:35 - 打开PDF文档...
2024-11-14 17:50:34.062 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 4.14秒
2024-11-14 17:50:34.062 | DEBUG    | src.pdf_parser:find_summary_text:35 - 打开PDF文档...
2024-11-14 17:50:34.062 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 4.14秒
2024-11-14 17:50:34.063 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 4.14秒
2024-11-14 17:50:34.063 | DEBUG    | src.pdf_parser:find_summary_text:35 - 打开PDF文档...
2024-11-14 17:50:34.063 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 4.13秒
2024-11-14 17:50:34.064 | DEBUG    | src.pdf_parser:find_summary_text:37 - PDF总页数: 150, 打开耗时: 0.00秒
2024-11-14 17:50:34.065 | DEBUG    | src.pdf_parser:find_summary_text:35 - 打开PDF文档...
2024-11-14 17:50:34.066 | DEBUG    | src.pdf_parser:find_summary_text:37 - PDF总页数: 100, 打开耗时: 0.00秒
2024-11-14 17:50:34.066 | DEBUG    | src.pdf_parser:find_summary_text:35 - 打开PDF文档...
2024-11-14 17:50:34.067 | DEBUG    | src.pdf_parser:find_summary_text:37 - PDF总页数: 110, 打开耗时: 0.00秒
2024-11-14 17:50:34.067 | DEBUG    | src.pdf_parser:find_summary_text:35 - 打开PDF文档...
2024-11-14 17:50:34.067 | DEBUG    | src.pdf_parser:find_summary_text:35 - 打开PDF文档...
2024-11-14 17:50:34.068 | DEBUG    | src.pdf_parser:find_summary_text:37 - PDF总页数: 171, 打开耗时: 0.01秒
2024-11-14 17:50:34.068 | DEBUG    | src.pdf_parser:find_summary_text:35 - 打开PDF文档...
2024-11-14 17:50:34.068 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 1 页
2024-11-14 17:50:34.070 | DEBUG    | src.pdf_parser:find_summary_text:37 - PDF总页数: 122, 打开耗时: 0.00秒
2024-11-14 17:50:34.070 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 1 页
2024-11-14 17:50:34.071 | DEBUG    | src.pdf_parser:find_summary_text:37 - PDF总页数: 127, 打开耗时: 0.00秒
2024-11-14 17:50:34.071 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 1 页
2024-11-14 17:50:34.072 | DEBUG    | src.pdf_parser:find_summary_text:37 - PDF总页数: 153, 打开耗时: 0.01秒
2024-11-14 17:50:34.073 | DEBUG    | src.pdf_parser:find_summary_text:37 - PDF总页数: 143, 打开耗时: 0.01秒
2024-11-14 17:50:34.073 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 1 页
2024-11-14 17:50:34.074 | DEBUG    | src.pdf_parser:find_summary_text:37 - PDF总页数: 129, 打开耗时: 0.01秒
2024-11-14 17:50:34.086 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 1 页
2024-11-14 17:50:34.098 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 1 页
2024-11-14 17:50:34.111 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 1 页
2024-11-14 17:50:34.111 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 1 页
2024-11-14 17:50:34.128 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 1 页
2024-11-14 17:50:38.473 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 4.41秒
2024-11-14 17:50:38.493 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 4.40秒
2024-11-14 17:50:38.498 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 4.41秒
2024-11-14 17:50:38.505 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 4.39秒
2024-11-14 17:50:38.516 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 4.30秒
2024-11-14 17:50:38.516 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 4.37秒
2024-11-14 17:50:38.530 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 4.40秒
2024-11-14 17:50:38.535 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 4.33秒
2024-11-14 17:50:38.544 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 4.35秒
2024-11-14 17:50:38.544 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 4.39秒
2024-11-14 17:50:40.685 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 2.20秒
2024-11-14 17:50:40.711 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 2.21秒
2024-11-14 17:50:41.023 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 2.52秒
2024-11-14 17:50:41.376 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 2.86秒
2024-11-14 17:50:41.730 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 3.19秒
2024-11-14 17:50:41.736 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 3.21秒
2024-11-14 17:50:41.738 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 3.19秒
2024-11-14 17:50:41.738 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 3.20秒
2024-11-14 17:50:41.740 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 3.18秒
2024-11-14 17:50:41.740 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 3.21秒
2024-11-14 17:50:43.917 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 3.23秒
2024-11-14 17:50:43.918 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 3.21秒
2024-11-14 17:50:43.935 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 2.91秒
2024-11-14 17:50:43.944 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 2.56秒
2024-11-14 17:50:43.946 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 2.21秒
2024-11-14 17:50:43.947 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 2.21秒
2024-11-14 17:50:43.948 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 2.22秒
2024-11-14 17:50:43.949 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 2.21秒
2024-11-14 17:50:43.951 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 2.21秒
2024-11-14 17:50:43.951 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 2 页
2024-11-14 17:50:43.956 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 2.22秒
2024-11-14 17:50:45.072 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.15秒
2024-11-14 17:50:45.075 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.16秒
2024-11-14 17:50:45.081 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.15秒
2024-11-14 17:50:45.089 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.14秒
2024-11-14 17:50:45.101 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.15秒
2024-11-14 17:50:45.102 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.15秒
2024-11-14 17:50:45.105 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.16秒
2024-11-14 17:50:45.106 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.16秒
2024-11-14 17:50:45.107 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.15秒
2024-11-14 17:50:45.136 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.18秒
2024-11-14 17:50:46.306 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.23秒
2024-11-14 17:50:46.306 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 2 页
2024-11-14 17:50:46.318 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.24秒
2024-11-14 17:50:46.319 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 2 页
2024-11-14 17:50:46.331 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.24秒
2024-11-14 17:50:46.333 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.24秒
2024-11-14 17:50:46.341 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.24秒
2024-11-14 17:50:46.357 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.25秒
2024-11-14 17:50:46.372 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.27秒
2024-11-14 17:50:46.379 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.27秒
2024-11-14 17:50:46.380 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.25秒
2024-11-14 17:50:46.390 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.25秒
2024-11-14 17:50:46.509 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.19秒
